Restaurant Name,Location,Phone number
Cade Burger | ካዴ በርገር,Cade Burger | ካዴ በርገር,"
+251 91 140 8962"
Everyday Burger House PLC,Everyday Burger House PLC,"
+251 91 187 3378"
BOOM BURGER,BOOM BURGER,"
+251 91 106 2523"
In-Joy Burger🍔 Piassa | ኢን-ጆይ በርገር🍔 | ፒያሳ,In-Joy Burger🍔 Piassa | ኢን-ጆይ በርገር🍔 | ፒያሳ,"
+251 93 022 2324"
Burger Station,Burger Station,"
+251 90 344 4000"
Add Burger | Bole Medhanialem Branch | አድ በርገር | ቦሌ መድሀኒያለም ቅርንጫፍ | • 𝐋𝐎𝐕𝐄 𝐀𝐓 𝐅𝐈𝐑𝐒𝐓 𝐁𝐈𝐓𝐄 •,Add Burger | Bole Medhanialem Branch | አድ በርገር | ቦሌ መድሀኒያለም ቅርንጫፍ | • 𝐋𝐎𝐕𝐄 𝐀𝐓 𝐅𝐈𝐑𝐒𝐓 𝐁𝐈𝐓𝐄 •,"
+251 98 433 0000"
BITE addis,BITE addis,"
+251 90 321 2272"
SAR Burger Restaurant,SAR Burger Restaurant,"
+251 92 006 1063"
Burger and beyond,Burger and beyond,"
+251 96 633 4444"
Mr. Burger,Mr. Burger,"
+251 91 163 4938"
yitem burger,yitem burger,"
+251 96 594 9495"
WOW Burger🍔 Bole Millennium | ዋዉ በርገር🍔 ቦሌ ሚሊኒየም,WOW Burger🍔 Bole Millennium | ዋዉ በርገር🍔 ቦሌ ሚሊኒየም,"
+251 91 119 5532"
Divine burger,Divine burger,"
+251 97 871 7171"
Grub On burger | Bole | ግራብ ኦን በርገር | ቦሌ,Grub On burger | Bole | ግራብ ኦን በርገር | ቦሌ,917707070
Boss burger/ Summit branch ቦስ በርገር - ሰሚት,Boss burger/ Summit branch ቦስ በርገር - ሰሚት,"
+251 91 770 7070"
WOW Burger,WOW Burger,"
+251 94 423 2379"
NOOK Cafe & Pastry House,NOOK Cafe & Pastry House,984313233
Original burger,Original burger,"
+251 98 431 3233"
Kin Burger,Kin Burger,"
+251 99 155 5545"
Skal Burger Addis | ስኮል,Skal Burger Addis | ስኮል,"
+251 94 979 8254"
The Urb,The Urb,"
+251 91 134 1313"
Mica´s Burger and Pizza,Mica´s Burger and Pizza,"
+251 93 163 8888"
Romita Cafe & Restaurant | 4 Kilo | ሮሚታ ካፌና ሬስቶራንት | 4 ኪሎ,Romita Cafe & Restaurant | 4 Kilo | ሮሚታ ካፌና ሬስቶራንት | 4 ኪሎ,"
+251 91 121 6531"
Menna Catering & Restaurant,Menna Catering & Restaurant,"
+251 91 331 5656"
Tomoca Coffee,Tomoca Coffee,111111781
Five Loaves Bistro and Bakery,Five Loaves Bistro and Bakery,"
+251 99 394 9395"
Stella Coffee Roaster and Cafe,Stella Coffee Roaster and Cafe,"
+251 91 121 3496"
Reboot Coffee,Reboot Coffee,"
+251 98 840 4106"
Coffee bole addis ababa,Coffee bole addis ababa,"
+251 98 822 1389"
"Robera Coffee | Addis Ababa, Ethiopia | Bole Medanialem","Robera Coffee | Addis Ababa, Ethiopia | Bole Medanialem","
+251 91 152 5750"
The Goat🐐 Cafè | Mexico,The Goat🐐 Cafè | Mexico,"
+251 97 380 0607"
Choche Fine Coffee,Choche Fine Coffee,"
+251 93 003 5426"
Tomoca Coffee Laureate Tsegaye G/Medhin,Tomoca Coffee Laureate Tsegaye G/Medhin,"
+251 90 337 4010"
Chaka Buna,Chaka Buna,"
+251 90 327 3767"
Tomoca Café,Tomoca Café,"
+251 11 515 7600"
Blues Cafe | Mexico | ብሉዝ ካፌ | ሜክሲኮ,Blues Cafe | Mexico | ብሉዝ ካፌ | ሜክሲኮ,"
+251 11 515 9273"
Moyee coffee,Moyee coffee,"
+251 91 168 6753"
Addis House of Culture (AHOC),Addis House of Culture (AHOC),"
+251 97 011 3039"
Kintosha Burger & Sausage,Kintosha Burger & Sausage,"
+251 91 006 5177"
Wukyer Coffee and Burger,Wukyer Coffee and Burger,"
+251 90 988 7711"
